#,Title,Scope,Type,Reason,Status,Origin,ROM,Prime Totals,Commitment Totals,RFQs,Commitment COs,Prime PCOs
76,Remodel Work at Existing,In Scope,FP Contingency/Buyout,Fp construction,Closed,,"$11,700.00 ",$0.00 ,"$11,700.00 ",,1,
75,Contingency: Window Treatments,Out of Scope,Allowance,Owner request,Closed,,$0.00 ,$0.00 ,$0.00 ,,,PCO #CONT-013
74,Contingency: Latch Guards and Store Front Reinforcement ,Out of Scope,Owner Contingency,Owner request,Closed,,$0.00 ,$0.00 ,"$2,147.00 ",,1,PCO #CONT-012
73,Column Materials   ,In Scope,Original Budget,Fp construction,Closed,,"$2,901.23 ",$0.00 ,"$2,901.23 ",,1,
72,Additional Build Wrap,In Scope,Original Budget,Fp construction,Closed,,"$4,865.63 ",$0.00 ,"$4,865.63 ",,1,
71,Additional Building Wrap Materials,In Scope,Original Budget,Fp construction,Closed,,"$5,159.73 ",$0.00 ,"$5,159.73 ",,1,
70,Install OTR Microwaves,In Scope,FP Contingency/Buyout,Fp construction,Closed,,$216.26 ,$0.00 ,$216.26 ,,1,
69,Silicone for Window and Patio Door Install,In Scope,Original Budget,Fp construction,Closed,,"$1,734.00 ",$0.00 ,"$1,734.00 ",,1,
68,Credit Back for Added Material Not Accepted,In Scope,FP Contingency/Buyout,Fp construction,Closed,,"$4,394.25 ",$0.00 ,"$4,394.25 ",,1,
67,ACT-4 and ACP-4 Finish Selections,Out of Scope,Owner Contingency,Allowance,Closed,,"$28,350.00 ","$29,625.75 ","$28,350.00 ",,1,PCO #024
66,Temp Base at Phase 1,In Scope,FP Contingency/Buyout,Fp construction,Closed,,"$1,017.50 ",$0.00 ,"$1,017.50 ",,1,
65,Materials for Balcony Trellises,In Scope,FP Contingency/Buyout,Fp construction,Closed,,"$6,358.32 ",$0.00 ,"$6,358.32 ",,1,
64,Supply Additional Plates for Sheer Walls and Post Pases,In Scope,FP Contingency/Buyout,Fp construction,Closed,,"$3,950.00 ",$0.00 ,"$3,950.00 ",,2,
63,ASI 009 Unit 2108 Deck Expansion,Out of Scope,Owner Contingency,Arch/eng,Closed,,"$5,142.14 ","$5,373.54 ","($2,594.25)",,3,PCO #026
62,Additional Roof Drains to Storm,Out of Scope,Owner Contingency,Arch/eng,Closed,,"$7,051.00 ","$7,368.30 ","$7,051.00 ",,1,PCO #023
61,Utility Line Elevation Conflict,Out of Scope,Owner Contingency,Arch/eng,Closed,,"$9,400.00 ","$9,823.00 ","$9,400.00 ",,1,PCO #025
60,Paint AL Unit Doors,Out of Scope,Owner Contingency,Owner request,Closed,RFI #56: AL Unit Doors,"$1,513.00 ","$1,581.09 ","$1,513.00 ",,1,PCO #022
59,Supply and Install WP-1,In Scope,FP Contingency/Buyout,Fp construction,Closed,,"$18,748.00 ",$0.00 ,"$18,748.00 ",,1,
58,"Contingency: Relocate HL Switches at Units B1, C1, C2",Out of Scope,Owner Contingency,Owner request,Closed,"RFI #74: Bathroom Switch Locations at B1, C1, C2, and F Units",$0.00 ,$0.00 ,"$1,925.00 ",,1,PCO #CONT-011
57,AL Unit Appliances,Out of Scope,Owner Contingency,Owner request,Closed,,"$5,232.89 ","$5,468.37 ","$4,932.89 ",,1,PCO #021
55,Test Window,In Scope,FP Contingency/Buyout,Fp construction,Closed,,$616.35 ,$0.00 ,$616.35 ,,1,
54,Winter Conditions,Out of Scope,Owner Contingency,Winter conditions,Closed,,$0.00 ,$0.00 ,$0.00 ,,,PCO #CONT-015
53,Storage Cages,Out of Scope,Owner Contingency,Owner request,Void,,$0.00 ,$0.00 ,$0.00 ,,,
52,Add zoning for Maintenance and Marketing Office,Out of Scope,Owner Contingency,Owner request,Closed,,"$3,500.00 ","$3,657.50 ","$3,500.00 ",,1,PCO #027
51,L2 Unit F Balcony,Out of Scope,Owner Contingency,Owner request,Void,,$0.00 ,$0.00 ,$0.00 ,,,
50,Contingency: Soft Close Toilet Seats,Out of Scope,Owner Contingency,Owner request,Closed,,$0.00 ,$0.00 ,"$3,354.00 ",,1,PCO #CONT-010
49,ASI 005 - Mirrors,Out of Scope,Owner Contingency,Owner request,Closed,,"$6,000.00 ","$6,270.00 ",$0.00 ,,,PCO #028
48,Supply Green Treat Plywood ,In Scope,FP Contingency/Buyout,Fp construction,Closed,,"$1,696.94 ",$0.00 ,"$1,696.94 ",,1,
47,Additional Lumber for Walls at AL Units,In Scope,FP Contingency/Buyout,Fp construction,Closed,,"$1,499.66 ",$0.00 ,"$1,499.66 ",,1,
46,Trex Decking Selection,In Scope,Owner Contingency,Arch/eng,Closed,,"($9,014.28)","($9,014.28)","($9,014.28)",,1,PCO #017
45,RFI 54 - Unit Balcony Privacy Screens,Out of Scope,Owner Contingency,Arch/eng,Closed,,"$8,601.38 ","$8,988.44 ","$8,601.38 ",,2,PCO #018
44,Unit Islands Top Overhang,In Scope,FP Contingency/Buyout,Fp construction,Closed,,"$3,500.00 ",$0.00 ,"$3,500.00 ",,1,
43,Door hardware Coordination Meeting,TBD,Allowance,Ahj,Void,,$0.00 ,$0.00 ,$0.00 ,,,
42,Window and Patio Door Drip Cap Flashing,In Scope,FP Contingency/Buyout,Fp construction,Closed,,"$4,845.00 ",$0.00 ,"$4,845.00 ",,1,
41,Elevator Cab Finish,In Scope,Owner Contingency,Arch/eng,Closed,,"($4,200.00)","($4,200.00)","($4,200.00)",,1,PCO #014
40,Unit Box Walk,Out of Scope,Owner Contingency,Owner request,Closed,,"$6,375.00 ","$6,661.88 ","$6,375.00 ",,1,PCO #020
39,ASI 007,Out of Scope,Owner Contingency,Arch/eng,Closed,,"($1,640.55)","($1,640.55)","($1,640.55)",,1,PCO #019
38,Deduct Light Fixture Allowance,In Scope,Allowance,Owner request,Closed,,"($150,000.00)","($150,000.00)","($150,000.00)",,1,PCO #015
37,Contingency:  Moen Voss Toilet Accessories,Out of Scope,Owner Contingency,Owner request,Closed,,$0.00 ,$0.00 ,$0.00 ,,,PCO #CONT-009
36,CTW-5 Alternate at Unit Fireplaces,In Scope,Owner Contingency,Fp construction,Closed,,"($3,217.50)","($3,217.50)","($3,217.50)",,1,PCO #012
35,Window Washing Reconciliation ,In Scope,Original Budget,Ahj,Closed,,"($38,118.00)","($38,118.00)",$0.00 ,,,PCO #011
34,Mock-up Wall Panel,In Scope,FP Contingency/Buyout,Fp construction,Closed,,$463.43 ,$0.00 ,$463.43 ,,1,
33,Dewatering and Rock Road,In Scope,FP Contingency/Buyout,Fp construction,Closed,,"$11,098.00 ",$0.00 ,"$11,098.00 ",,2,
32,10-Year Sealed Lithium Detectors ,Out of Scope,Owner Contingency,Owner request,Closed,,"$1,690.00 ","$1,766.05 ","$1,690.00 ",,1,PCO #010
31,Eliminate Quartz Surround at Unit Fireplaces ,In Scope,FP Contingency/Buyout,Fp construction,Closed,,"($8,430.45)",$0.00 ,"($8,430.45)",,1,
30,Contingency: 20-Mil Wear LVT in lieu of 12-Mil Wear,Out of Scope,Owner Contingency,Owner request,Closed,,$0.00 ,$0.00 ,"$44,430.75 ",,1,PCO #CONT-006
29,Contingency: Sound Mat and LVT AL Units,Out of Scope,Owner Contingency,Owner request,Closed,,$0.00 ,$0.00 ,"$2,999.50 ",,1,PCO #CONT-005
28,Contract Time Extension,Out of Scope,Owner Contingency,Ahj,Closed,,$0.00 ,$0.00 ,$0.00 ,,,PCO #008
27, Contingency: Fire Suppression Relocation at AL Units,Out of Scope,Owner Contingency,Fp construction,Closed,,$0.00 ,$0.00 ,"$1,200.00 ",,1,PCO #CONT-007
26,AL Units Sound Mat,Out of Scope,Owner Contingency,Owner request,Void,,$0.00 ,$0.00 ,$0.00 ,,,
25,Additional Precast Mobilization,In Scope,FP Contingency/Buyout,Fp construction,Closed,,$0.00 ,$0.00 ,$0.00 ,,2,
24,Pedestals for ADA Appliances,In Scope,Original Budget,Fp construction,Closed,,$860.71 ,$0.00 ,$860.71 ,,1,
23,ASI 006 - Phase 1 Corridor Addition,Out of Scope,Owner Contingency,Arch/eng,Closed,,"$31,051.75 ","$32,449.09 ","$29,256.75 ",,5,PCO #009
22,Marketing office electrical pricing RFI,TBD,Allowance,Ahj,Void,,$0.00 ,$0.00 ,$0.00 ,,,
21,AL Unit Light Switch Add,TBD,Allowance,Ahj,Void,,$0.00 ,$0.00 ,$0.00 ,,,
20,Additional Mobilization and Saw Cutting at Precast,In Scope,FP Contingency/Buyout,Fp construction,Closed,,"$1,875.00 ",$0.00 ,"$1,875.00 ",,1,
19,AL Unit Flooring,Out of Scope,Owner Contingency,Owner request,Void,,$0.00 ,$0.00 ,$0.00 ,,,
